Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
BEBMNS02,Bayswater Power Station,NSW,0,2333,Biomass,1/04/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS01,Liddell Power Station,NSW,0,2333,Biomass,1/04/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMQL27,Gladstone Power Station,QLD,0,4680,Biomass,6/05/2005,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMVC01,Hazelwood,VIC,0,3840,Biomass,4/05/2005,Suspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS08,Mt Piper Power Station,NSW,0,2847,Biomass,16/05/2002,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS04,Vales Point,NSW,0,2259,Biomass,26/10/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMNS03,Wallerawang Power Station,NSW,0,2845,Biomass,14/06/2001,Suspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
BEBMWA02,Muja,WA,0,6225,Biomass,2/04/2002,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET. 
SRPVWA02,Rooftop PV,WA,0,6149,Solar,1/04/2001,Suspended,0,n/a
SRPVNS04,Rooftop PV,NSW,0.0014,2766,Solar,20/04/2001,Unsuspended,0,n/a
SRPVQL01,Solaris,QLD,0.0014,4160,Solar,18/06/2001,Suspended,0,n/a
SRPVSA02,Lavina June,SA,0.0014,5007,Solar,25/10/2001,Suspended,0,n/a
SRPVVC02,Rufusredtail,VIC,0.0014,3135,Solar,26/04/2002,Suspended,0,n/a
SRPVWA01,Rooftop PV,WA,0.0014,6011,Solar,27/04/2001,Unsuspended,0,n/a
SRPVNS16,Glenorie Solar - NSW,NSW,0.0015,2157,Solar,9/08/2007,Suspended,0,n/a
SRPVQL02,Go 100% Renewable Generation,QLD,0.0015,4075,Solar,1/04/2001,Suspended,0,n/a
SRPVQL03,Rooftop PV,QLD,0.0016,4102,Solar,4/04/2001,Suspended,0,n/a
SRPVSA04,Mount Barker Springs PV - SA,SA,0.0018,5251,Solar,19/01/2007,Unsuspended,0,n/a
SRPVNS15,Myalben Photovoltaic,NSW,0.0023,2360,Solar,1/01/2005,Unsuspended,0,n/a
SRPVAC01,Rooftop PV,ACT,0.0029,2607,Solar,1/04/2001,Suspended,0,n/a
SRPVWA03,Noranda Primary School,WA,0.0029,6062,Solar,24/09/2001,Suspended,0,n/a
HYMCNS04,Yellow Rock,NSW,0.004,2527,Hydro,9/10/2002,Suspended,0,n/a
SRPVVC04,Craig Walters PV - VIC,VIC,0.0044,3072,Solar,28/06/2006,Unsuspended,0,n/a
SRPVQL04,Caboolture Region Environment Education Centre,QLD,0.0049,4505,Solar,1/04/2001,Suspended,0,n/a
SRPVQL07,Ray Ede Wind and Solar,QLD,0.0064,4061,Wind,28/04/2004,Suspended,0,n/a
SRPVNS09,Foreshore Power Station,NSW,0.0065,2300,Solar,20/08/2001,Suspended,7,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVNS02,Homebush Photovoltaic Power Station,NSW,0.0112,2140,Solar,1/04/2001,Suspended,0,n/a
SRPVQL26,Freecor7MainPIA - Solar - QLD,QLD,0.013,4655,Solar,8/03/2016,Unsuspended,0,n/a
SRWDVC01,Citipower Energy Park,VIC,0.0132,3057,Solar,25/07/2003,Suspended,6,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVQL25,Freecor13GatewayTIN - Solar  - QLD,QLD,0.0135,4650,Solar,8/03/2016,Suspended,0,n/a
HYMCTA02,Platypus Micro Hydro - TAS,TAS,0.015,7140,Hydro,18/04/2011,Unsuspended,0,n/a
WD00VC22,Cookers Oil Wind - Vic,VIC,0.015,3030,Wind,1/12/2015,Unsuspended,0,n/a
WD00WA12,Bouverie Wind Turbine - WA,WA,0.015,6324,Wind,8/05/2010,Suspended,0,n/a
SRPVWA09,Chittering Valley Solar - WA,WA,0.018,6084,Solar,16/02/2012,Unsuspended,0,n/a
SRPVNS14,Kogarah Town Square PV,NSW,0.0184,2217,Solar,18/02/2004,Suspended,0,n/a
HYMIQL06,Paronella Micro Hydro - QLD,QLD,0.0185,4871,Hydro,19/04/2010,Unsuspended,0,n/a
SRPVWA05,Chadwell Estate Solar - WA,WA,0.0198,6322,Solar,16/03/2010,Unsuspended,0,n/a
WD00VC04,Moorooduc Wind Farm,VIC,0.02,3933,Wind,12/02/2004,Suspended,0,n/a
SRPVNS11,Pine Bluff Campus,NSW,0.021,2583,Solar,8/10/2002,Suspended,0,n/a
SRPVNT08,Power and Water Sadadeen Solar - NT,NT,0.0216,870,Solar,2/08/2011,Unsuspended,0,n/a
SRPVVC01,Fosterville Test Facility,VIC,0.024,3571,Solar,7/09/2001,Suspended,0,n/a
HYMCTA04,Deloraine Micro Hydro - TAS,TAS,0.03,7304,Hydro,20/07/2014,Unsuspended,0,n/a
SRPVQL23,Freecor Stanfast - Solar - QLD,QLD,0.03,4650,Solar,8/12/2015,Suspended,0,n/a
BEBGVC22,Blackwood Piggery PTY LTD - Biogas - VIC,VIC,0.04,3824,Biomass,27/02/2019,Unsuspended,0,n/a
BEBMTA01,Tahune Woodgas-WW-TAS,TAS,0.04,7116,Biomass,1/09/2006,Suspended,0,n/a
SRPVNS52,BUPA Bateau Bay 40kWp,NSW,0.04,2261,Solar,18/03/2016,Unsuspended,0,n/a
SRPVQL27,Freecor11GatewayTIN - Solar - QLD,QLD,0.04,4650,Solar,8/03/2016,Suspended,0,n/a
SRPVQL28,Freecor2BauhiniaKAW - Solar - QLD,QLD,0.04,4655,Solar,8/03/2016,Unsuspended,0,n/a
WD00NT01,Power and Water Lake Nash Wind Turbines - NT,NT,0.045,872,Wind,1/01/2013,Suspended,0,n/a
SRPVVC57,University of Melbourne Peter Hall Parkville Solar Vic,VIC,0.0478,3052,Solar,13/10/2017,Unsuspended,0,n/a
SRPVNS07,Western Plains Zoo Solar System,NSW,0.0499,2830,Solar,5/06/2001,Unsuspended,0,n/a
SRPVNS49,BUPA Sutherland 50kWp,NSW,0.05,2232,Solar,15/03/2016,Unsuspended,0,n/a
SRPVNS97,Milltech Hexham Solar - NSW,NSW,0.05,2322,Solar,20/02/2018,Unsuspended,0,n/a
SRPVVC33,BUPA Kyneton 50kWp,VIC,0.05,3444,Solar,18/03/2016,Unsuspended,0,n/a
SRPVNT36,Mt Liebig Solar Power Station - NT,NT,0.0501,872,Solar,21/03/2018,Unsuspended,0,n/a
SRPVVC58,University of Melbourne The Spot Carlton Solar Vic,VIC,0.0509,3053,Solar,19/10/2017,Unsuspended,0,n/a
SRPVQL29,BUPA Mount Sheridan 51kWp,QLD,0.051,4868,Solar,18/03/2016,Unsuspended,0,n/a
SRPVQL30,BUPA Runaway Bay 51kWp,QLD,0.051,4216,Solar,18/03/2016,Unsuspended,0,n/a
SRPVVC99,University of Melbourne Dental Clinic BLDG 348 Solar Vic,VIC,0.0531,3052,Solar,3/05/2018,Unsuspended,0,n/a
SRPVVC79,St Paul's Warragul Solar - VIC,VIC,0.0547,3820,Solar,13/03/2018,Unsuspended,0,n/a
HYMCQL02,Hinze Dam Hydro,QLD,0.055,4211,Hydro,7/06/2005,Unsuspended,0,n/a
SRPVNS13,Queanbeyan Solar Farm,NSW,0.0554,2620,Solar,25/01/2002,Suspended,0,n/a
SRPVWA38,AAC15-Solar - WA,WA,0.0557,6054,Solar,16/12/2016,Unsuspended,0,n/a
SRPVNT01,Bulman Solar,NT,0.0563,852,Solar,17/02/2003,Suspended,0,n/a
SRPVWA30,Aegis Aged Care - Sandstrom - Solar - WA,WA,0.0588,6050,Solar,8/09/2016,Unsuspended,0,n/a
